date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2017-01-11,Cycling,False,San Antonio Cycling,23.52,"1,046",01:34:02,143,177,2.8,0,0,15.0,26.8,646,643,0.0,0.0,0.0,0,0,87,118,0,0,0.0,0,0,0,0.0,0.0,6547,0,0,0,0,1:34:02,0:00,73.4,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-12,Treadmill Running,False,Treadmill Running,0.00,0,00:00:10.4,68,71,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0:10.4,0:00,84.2,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-12,Indoor Cycling,False,Indoor Cycling,13.62,500,00:45:20,136,174,2.5,0,0,18.0,33.1,0,10,0.0,0.0,0.0,0,0,94,117,216,46% L / 54% R,45.9,209,187,685,0.0,0.0,4276,0,0,0,0,45:20,0:00,73.4,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-14,Cycling,False,Boerne Cycling,103.03,"3,006",06:03:22,136,167,3.3,0,0,17.0,47.0,"4,623","4,495",0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,6:03:22,0:00,57.2,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-16,Indoor Cycling,False,FTP Round 6 - 296W,17.72,695,01:00:00,139,185,3.7,0,0,17.7,24.7,3,20,0.0,0.0,0.0,0,0,92,111,0,46% L / 54% R,72.4,296,196,394,0.0,0.0,5579,0,0,0,0,1:00:00,0:00,68.0,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-18,Indoor Cycling,False,Indoor Cycling,26.34,"1,068",01:30:12,131,158,2.6,0,0,17.5,27.3,0,26,0.0,0.0,0.0,0,0,85,104,210,46% L / 54% R,82.7,206,198,638,0.0,0.0,7701,0,0,0,0,1:30:12,0:00,68.0,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-19,Running,False,San Antonio Running,3.24,348,00:29:50,141,186,2.2,167,182,9:13,8:13,92,217,1.05,9.0,9.4,277,49.9% L / 50.1% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,29:50,0:00,59.0,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:09:13,0 days 00:09:13
2017-01-19,Indoor Cycling,False,Indoor Cycling,17.40,697,01:00:00,141,177,3.2,0,0,17.4,28.9,3,3,0.0,0.0,0.0,0,0,92,113,216,47% L / 53% R,58.0,215,196,678,0.0,0.0,5528,0,0,0,0,1:00:00,0:00,69.8,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-20,Running,False,San Antonio Running,2.29,258,00:20:07,142,158,2.3,172,184,8:47,7:45,79,95,1.07,8.7,9.1,268,49.7% L / 50.3% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:07,0:00,57.2,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:08:47,0 days 00:08:47
2017-01-21,Cycling,False,Comfort Cycling,27.32,"2,107",02:25:57,166,189,5.0,0,0,11.2,22.9,"2,054","1,932",0.0,0.0,0.0,0,0,81,165,0,0,0.0,0,0,0,0.0,0.0,9340,0,0,0,0,2:25:57,0:00,73.4,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-22,Cycling,False,San Antonio Cycling,42.76,"1,701",02:26:37,137,178,2.8,0,0,17.5,35.1,958,899,0.0,0.0,0.0,0,0,87,112,215,45% L / 55% R,142.1,223,194,834,0.0,0.0,11803,0,0,0,0,2:26:37,0:00,64.4,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-23,Pool Swimming,False,Lazy River Swim,"1,600",290,00:30:00,0,0,0.0,0,0,1:53,1:24,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,622,36,25,0,0,30:00,0:00,0.0,0:00,No,00:00.00,0,0.0,9,garmin,0,0 days 00:01:53,0 days 00:01:53
2017-01-23,Indoor Cycling,False,Indoor Cycling,0.63,275,00:34:31,104,124,1.2,0,0,1.1,16.7,0,7,0.0,0.0,0.0,0,0,84,108,150,46% L / 54% R,13.5,147,144,252,0.0,0.0,2251,0,0,0,0,34:31,0:00,71.6,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-24,Indoor Cycling,False,Indoor Cycling,0.00,468,00:45:23,134,171,2.3,0,0,0,0,0,0,0.0,0.0,0.0,0,0,93,104,236,47% L / 53% R,52.4,207,174,436,0.0,0.0,4144,0,0,0,0,45:23,0:00,68.0,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-25,Indoor Cycling,False,Indoor Cycling,0.00,536,01:00:44,118,161,1.7,0,0,0,0,0,0,0.0,0.0,0.0,0,0,89,100,220,47% L / 53% R,61.3,174,148,610,0.0,0.0,5436,0,0,0,0,1:00:44,0:00,69.8,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-26,Indoor Cycling,False,Indoor Cycling,0.00,651,01:00:16,132,168,2.7,0,0,0,0,0,0,0.0,0.0,0.0,0,0,89,98,222,47% L / 53% R,61.8,238,180,390,0.0,0.0,5374,0,0,0,0,1:00:16,0:00,68.0,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-27,Indoor Cycling,False,Indoor Cycling,0.00,566,01:00:24,109,140,1.5,0,0,0,0,0,0,0.0,0.0,0.0,0,0,91,111,171,46% L / 54% R,36.7,171,156,425,0.0,0.0,5511,0,0,0,0,1:00:24,0:00,68.0,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
2017-01-28,Cycling,False,Comfort Cycling,1.32,116,00:11:22,134,162,1.8,0,0,7.0,23.4,180,554,0.0,0.0,0.0,0,0,79,98,0,0,0.0,0,0,0,0.0,0.0,453,0,0,0,0,11:22,0:00,60.8,0:00,No,00:00.00,0,0.0,9,garmin,1,00:00:00,00:00:00
2017-01-28,Cycling,True,Comfort Cycling,54.53,"2,808",04:45:24,157,187,4.8,0,0,11.5,22.5,"4,196","4,098",0.0,0.0,0.0,0,0,83,204,0,0,0.0,0,0,0,0.0,0.0,18564,0,0,0,0,4:45:24,0:00,53.6,0:00,No,00:00.00,0,0.0,9,garmin,1,00:00:00,00:00:00
2017-01-29,Indoor Cycling,False,Indoor Cycling,0.00,530,01:00:08,112,124,1.7,0,0,0,0,0,0,0.0,0.0,0.0,0,0,92,102,147,46% L / 54% R,27.1,149,147,182,0.0,0.0,5538,0,0,0,0,1:00:08,0:00,69.8,0:00,No,00:00.00,0,0.0,9,garmin,0,00:00:00,00:00:00
